Round,Model,F1 Score,Accuracy
1,baseline_1,0.057803961748633885,0.14102564102564102
1,baseline_2,0.17765345991152445,0.38461538461538464
1,convirt,0.13174603174603175,0.46153846153846156
1,sequential_convirt,0.2418909592822636,0.5512820512820513
1,hier_model,0.19042145593869733,0.46153846153846156

2,baseline_1,0.034482758620689655,0.11538461538461539
2,baseline_2,0.321711259754738,0.5384615384615384
2,convirt,0.1817716333845366,0.5256410256410257
2,sequential_convirt,0.24056604589458463,0.5897435897435898
2,hier_model,0.30299232930811876,0.6025641025641025

3,baseline_1,0.091996891996892,0.23076923076923078
3,baseline_2,0.1708808716209271,0.32051282051282054
3,convirt,0.1505123959008328,0.3974358974358974
3,sequential_convirt,0.14640776699029126,0.5
3,hier_model,0.25095205386639,0.4230769230769231

4,baseline_1,0.021929824561403508,0.0641025641025641
4,baseline_2,0.2930999885334251,0.5512820512820513
4,convirt,0.1672967296729673,0.5
4,sequential_convirt,0.19056459217350308,0.5384615384615384
4,hier_model,0.2037128712871287,0.5641025641025641

5,baseline_1,0.13620199146514936,0.3076923076923077
5,baseline_2,0.3063858937404363,0.44871794871794873
5,convirt,0.2188118811881188,0.5128205128205128
5,sequential_convirt,0.15100098927418515,0.44871794871794873
5,hier_model,0.26053950356275934,0.4358974358974359
