Round,Model,F1 Score,Accuracy
1,baseline_1,0.04119850187265917,0.14102564102564102
1,baseline_2,0.4153409090909091,0.6282051282051282
1,convirt,0.2857754813637166,0.5641025641025641
1,sequential_convirt,0.1439950980392157,0.46153846153846156
1,hier_model,0.2653985507246377,0.5128205128205128
2,baseline_1,0.04119850187265917,0.14102564102564102
2,baseline_2,0.3652011529249381,0.6923076923076923
2,convirt,0.2640515720975491,0.5256410256410257
2,sequential_convirt,0.2803169148529973,0.5769230769230769
2,hier_model,0.2634596318806845,0.5641025641025641
3,baseline_1,0.009009009009009009,0.02564102564102564
3,baseline_2,0.34879584017515053,0.5256410256410257
3,convirt,0.5029605601894758,0.5512820512820513
3,sequential_convirt,0.13482866043613706,0.5128205128205128
3,hier_model,0.40347885046680226,0.5256410256410257
4,baseline_1,0.03571428571428571,0.11538461538461539
4,baseline_2,0.5218996689584924,0.782051282051282
4,convirt,0.3570079883805373,0.6538461538461539
4,sequential_convirt,0.18594104308390022,0.5256410256410257
4,hier_model,0.3868284378787004,0.5897435897435898
5,baseline_1,0.04805528768884603,0.11538461538461539
5,baseline_2,0.37698769662787646,0.5512820512820513
5,convirt,0.45964908552566336,0.6025641025641025
5,sequential_convirt,0.1755074026865379,0.44871794871794873
5,hier_model,0.41225985343632404,0.5256410256410257
