Round,Model,Direction,Recall@1,Recall@5,Recall@10
1,baseline_1,i2t,0.002577319587628866,0.01288659793814433,0.02577319587628866
1,baseline_1,t2i,0.007731958762886598,0.01804123711340206,0.028350515463917526
1,baseline_2,i2t,0.002577319587628866,0.010309278350515464,0.02577319587628866
1,baseline_2,t2i,0.002577319587628866,0.01804123711340206,0.028350515463917526
1,convirt,i2t,0.005154639175257732,0.020618556701030927,0.03350515463917526
1,convirt,t2i,0.007731958762886598,0.023195876288659795,0.03865979381443299
1,sequential_convirt,i2t,0.002577319587628866,0.010309278350515464,0.02577319587628866
1,sequential_convirt,t2i,0.002577319587628866,0.01288659793814433,0.028350515463917526
1,hier_model,i2t,0.007731958762886598,0.02577319587628866,0.04381443298969072
1,hier_model,t2i,0.007731958762886598,0.01804123711340206,0.05412371134020619
2,baseline_1,i2t,0.002577319587628866,0.010309278350515464,0.028350515463917526
2,baseline_1,t2i,0.0,0.01288659793814433,0.023195876288659795
2,baseline_2,i2t,0.002577319587628866,0.015463917525773196,0.023195876288659795
2,baseline_2,t2i,0.002577319587628866,0.01804123711340206,0.030927835051546393
2,convirt,i2t,0.005154639175257732,0.020618556701030927,0.03350515463917526
2,convirt,t2i,0.007731958762886598,0.023195876288659795,0.03865979381443299
2,sequential_convirt,i2t,0.002577319587628866,0.010309278350515464,0.02577319587628866
2,sequential_convirt,t2i,0.002577319587628866,0.01288659793814433,0.028350515463917526
2,hier_model,i2t,0.007731958762886598,0.02577319587628866,0.04381443298969072
2,hier_model,t2i,0.007731958762886598,0.01804123711340206,0.05412371134020619
3,baseline_1,i2t,0.002577319587628866,0.015463917525773196,0.02577319587628866
3,baseline_1,t2i,0.005154639175257732,0.015463917525773196,0.023195876288659795
3,baseline_2,i2t,0.002577319587628866,0.01804123711340206,0.03350515463917526
3,baseline_2,t2i,0.002577319587628866,0.007731958762886598,0.02577319587628866
3,convirt,i2t,0.005154639175257732,0.020618556701030927,0.03350515463917526
3,convirt,t2i,0.007731958762886598,0.023195876288659795,0.03865979381443299
3,sequential_convirt,i2t,0.002577319587628866,0.010309278350515464,0.02577319587628866
3,sequential_convirt,t2i,0.002577319587628866,0.01288659793814433,0.028350515463917526
3,hier_model,i2t,0.007731958762886598,0.02577319587628866,0.04381443298969072
3,hier_model,t2i,0.007731958762886598,0.01804123711340206,0.05412371134020619
4,baseline_1,i2t,0.002577319587628866,0.01288659793814433,0.023195876288659795
4,baseline_1,t2i,0.0,0.010309278350515464,0.02577319587628866
4,baseline_2,i2t,0.002577319587628866,0.020618556701030927,0.030927835051546393
4,baseline_2,t2i,0.002577319587628866,0.007731958762886598,0.015463917525773196
4,convirt,i2t,0.005154639175257732,0.020618556701030927,0.03350515463917526
4,convirt,t2i,0.007731958762886598,0.023195876288659795,0.03865979381443299
4,sequential_convirt,i2t,0.002577319587628866,0.010309278350515464,0.02577319587628866
4,sequential_convirt,t2i,0.002577319587628866,0.01288659793814433,0.028350515463917526
4,hier_model,i2t,0.007731958762886598,0.02577319587628866,0.04381443298969072
4,hier_model,t2i,0.007731958762886598,0.01804123711340206,0.05412371134020619
5,baseline_1,i2t,0.002577319587628866,0.01288659793814433,0.02577319587628866
5,baseline_1,t2i,0.0,0.01804123711340206,0.023195876288659795
5,baseline_2,i2t,0.005154639175257732,0.020618556701030927,0.03865979381443299
5,baseline_2,t2i,0.002577319587628866,0.01288659793814433,0.030927835051546393
5,convirt,i2t,0.005154639175257732,0.020618556701030927,0.03350515463917526
5,convirt,t2i,0.007731958762886598,0.023195876288659795,0.03865979381443299
5,sequential_convirt,i2t,0.002577319587628866,0.010309278350515464,0.02577319587628866
5,sequential_convirt,t2i,0.002577319587628866,0.01288659793814433,0.028350515463917526
5,hier_model,i2t,0.007731958762886598,0.02577319587628866,0.04381443298969072
5,hier_model,t2i,0.007731958762886598,0.01804123711340206,0.05412371134020619
